Vintage;Country;County;Designation;Points;Price;Province;Title;Variety;Winery
01/01/1929;Italy;Sangiovese di Romagna Superiore;Prugneto;84;$15.00;Central Italy;Poderi dal Nespoli 1929 2011 Prugneto (Sangiovese di Romagna Superiore);Sangiovese;Poderi dal Nespoli 1929
01/01/1945;France;Rivesaltes;Legend Vintage;95;$350.00;Languedoc-Roussillon;Gérard Bertrand 1945 Legend Vintage Red (Rivesaltes);Red Blend;Gérard Bertrand
01/01/1989;France;Champagne;Diamant Bleu;91;$70.00;Champagne;Heidsieck & Co Monopole 1989 Diamant Bleu (Champagne);Champagne Blend;Heidsieck & Co Monopole
01/01/1990;France;Champagne;Dom Pérignon Rosé;90;$290.00;Champagne;Moët & Chandon 1990 Dom Pérignon Rosé (Champagne);Champagne Blend;Moët & Chandon
01/01/1994;Italy;Vin Santo del Chianti Rufina;Riserva;93;$140.00;Tuscany;Fattoria di Grignano 1994 Riserva (Vin Santo del Chianti Rufina);White Blend;Fattoria di Grignano
01/01/1995;France;Champagne;Premier Cru Blanc de Blancs Brut;89;$48.00;Champagne;De Saint Gall 1995 Premier Cru Blanc de Blancs Brut (Champagne);Champagne Blend;De Saint Gall
01/01/1995;France;Champagne;Grande Cru Brut;90;$60.00;Champagne;Soutiran 1995 Grande Cru Brut (Champagne);Champagne Blend;Soutiran
01/01/1995;Italy;Brunello di Montalcino;Riserva;84;$56.00;Tuscany;Poggio Antico 1995 Riserva (Brunello di Montalcino);Sangiovese;Poggio Antico
01/01/1996;Italy;Chianti Classico;Riserva;84;$18.00;Tuscany;Querceto 1996 Riserva (Chianti Classico);Sangiovese;Querceto
01/01/1996;France;Champagne;Cuvée Femme Brut;95;$120.00;Champagne;Duval-Leroy 1996 Cuvée Femme Brut (Champagne);Champagne Blend;Duval-Leroy
01/01/1996;Italy;Chianti Classico;Riserva;83;$26.00;Tuscany;Castellare 1996 Riserva (Chianti Classico);Sangiovese;Castellare
01/01/1996;Italy;Piedmont;Dino Nero Spumante;90;$36.00;Piedmont;Bruno Giacosa 1996 Dino Nero Spumante (Piedmont);Champagne Blend;Bruno Giacosa
01/01/1997;Italy;Amarone della Valpolicella Classico;Morar;91;$50.00;Veneto;Valentina Cubi 1997 Morar (Amarone della Valpolicella Classico);Corvina, Rondinella, Molinara;Valentina Cubi
01/01/1997;France;Chablis;Les Blanchots;92;$85.00;Burgundy;Domaine Laroche 1997 Les Blanchots (Chablis);Chardonnay;Domaine Laroche
01/01/1997;Italy;Toscana;Montepaone;89;$45.00;Tuscany;Castello di Montepò 1997 Montepaone Cabernet Sauvignon (Toscana);Cabernet Sauvignon;Castello di Montepò
01/01/1997;Italy;Chianti Classico;Querciolo Riserva;84;$22.00;Tuscany;Podere La Cappella 1997 Querciolo Riserva (Chianti Classico);Sangiovese;Podere La Cappella
01/01/1997;Italy;Toscana;Selvamaggio;88;$27.00;Tuscany;Villa La Selva 1997 Selvamaggio Cabernet Sauvignon (Toscana);Cabernet Sauvignon;Villa La Selva
01/01/1997;Italy;Franciacorta;Brut Riserva;85;$28.00;Lombardy;Cornaleto 1997 Brut Riserva Sparkling (Franciacorta);Sparkling Blend;Cornaleto
01/01/1997;France;Champagne;Palmes d'Or;91;$120.00;Champagne;Nicolas Feuillatte 1997 Palmes d'Or (Champagne);Champagne Blend;Nicolas Feuillatte
01/01/1997;Italy;Brunello di Montalcino;Greppone Mazzi;90;$60.00;Tuscany;Ruffino 1997 Greppone Mazzi (Brunello di Montalcino);Sangiovese;Ruffino
01/01/1998;France;Costières de Nîmes;Prestige des Gibelins;88;$15.00;Rhône Valley;Château Mas Neuf 1998 Prestige des Gibelins Red (Costières de Nîmes);Rhône-style Red Blend;Château Mas Neuf
01/01/1998;France;Champagne;Dom Ruinart Brut Rosé;95;$275.00;Champagne;Ruinart 1998 Dom Ruinart Brut Rosé (Champagne);Champagne Blend;Ruinart
01/01/1998;France;Champagne;Diamant Rosé Brut;86;$160.00;Champagne;Vranken 1998 Diamant Rosé Brut (Champagne);Champagne Blend;Vranken
01/01/1998;Italy;Toscana;Le Marze;89;$40.00;Tuscany;Elisabetta 1998 Le Marze Red (Toscana);Bordeaux-style Red Blend;Elisabetta
01/01/1998;Italy;Chianti;I Sodi del Paretaio;83;$11.00;Tuscany;Badia di Morrona 1998 I Sodi del Paretaio (Chianti);Sangiovese;Badia di Morrona
01/01/1998;France;Meursault;Château de Blagny Premier Cru;88;$45.00;Burgundy;Louis Latour 1998 Château de Blagny Premier Cru (Meursault);Chardonnay;Louis Latour
01/01/1998;Italy;Sant'Antimo;Excelsus;90;$73.00;Tuscany;Castello Banfi 1998 Excelsus Red (Sant'Antimo);Bordeaux-style Red Blend;Castello Banfi
01/01/1998;Italy;Sant'Antimo;Colvecchio;86;$36.00;Tuscany;Castello Banfi 1998 Colvecchio Syrah (Sant'Antimo);Syrah;Castello Banfi
01/01/1998;Italy;Chianti Classico;Riserva;90;$22.00;Tuscany;Carpineto 1998 Riserva (Chianti Classico);Sangiovese;Carpineto
01/01/1998;France;Champagne;Chardonnay Blanc de Blancs Brut;89;$40.00;Champagne;Nicolas Feuillatte 1998 Chardonnay Blanc de Blancs Brut Chardonnay (Champagne);Chardonnay;Nicolas Feuillatte
01/01/1998;France;Pernand-Vergelesses;Premier Cru Les Vergelesses;92;$33.00;Burgundy;Laleure-Piot 1998 Premier Cru Les Vergelesses (Pernand-Vergelesses);Pinot Noir;Laleure-Piot
01/01/1998;France;Puligny-Montrachet;Les Referts Premier Cru;92;$55.00;Burgundy;Louis Latour 1998 Les Referts Premier Cru (Puligny-Montrachet);Chardonnay;Louis Latour
01/01/1998;France;Bordeaux Blanc;Reserve;88;$10.00;Bordeaux;Calvet 1998 Reserve (Bordeaux Blanc);Bordeaux-style White Blend;Calvet
01/01/1998;Italy;Morellino di Scansano;Riserva;88;$19.00;Tuscany;Val delle Rose 1998 Riserva (Morellino di Scansano);Sangiovese;Val delle Rose
01/01/1998;France;Champagne;Millésimé Brut;93;$95.00;Champagne;Henriot 1998 Millésimé Brut (Champagne);Champagne Blend;Henriot
01/01/1998;France;Côtes du Luberon;Estate Bottled;87;$10.00;Rhône Valley;Château Val Joanis 1998 Estate Bottled Red (Côtes du Luberon);Rhône-style Red Blend;Château Val Joanis
01/01/1998;France;Côtes du Rhône;Domaine Grand Veneur;86;$9.00;Rhône Valley;Alain Jaume et Fils 1998 Domaine Grand Veneur Red (Côtes du Rhône);Rhône-style Red Blend;Alain Jaume et Fils
01/01/1998;France;Champagne;Grand Siècle Cuvée Alexandra Rosé Brut;93;$300.00;Champagne;Laurent-Perrier 1998 Grand Siècle Cuvée Alexandra Rosé Brut (Champagne);Champagne Blend;Laurent-Perrier
01/01/1999;Italy;Trento;Riserva del Fondatore;93;$90.00;Northeastern Italy;Giulio Ferrari 1999 Riserva del Fondatore Chardonnay (Trento);Chardonnay;Giulio Ferrari
01/01/1999;Italy;Bolgheri;Guado Al Tasso;95;$80.00;Tuscany;Antinori 1999 Guado Al Tasso (Bolgheri);Red Blend;Antinori
01/01/1999;France;Hermitage;Chevalier de Sterimberg;94;$75.00;Rhône Valley;Paul Jaboulet Aîné 1999 Chevalier de Sterimberg White (Hermitage);Rhône-style White Blend;Paul Jaboulet Aîné
01/01/1999;France;Bordeaux Blanc;Reserve;84;$9.00;Bordeaux;Marquis de Chasse 1999 Reserve (Bordeaux Blanc);Bordeaux-style White Blend;Marquis de Chasse
01/01/1999;Italy;Toscana;Ceccante;90;$43.00;Tuscany;Il Grillesino 1999 Ceccante Sangiovese (Toscana);Sangiovese;Il Grillesino
01/01/1999;France;Champagne;Extra Cuvée de Réserve Vintage Brut;93;$103.00;Champagne;Pol Roger 1999 Extra Cuvée de Réserve Vintage Brut (Champagne);Champagne Blend;Pol Roger
01/01/1999;Italy;Sardinia;Le Arenarie;88;$12.00;Sicily & Sardinia;Sella & Mosca 1999 Le Arenarie Sauvignon Blanc (Sardinia);Sauvignon Blanc;Sella & Mosca
01/01/1999;Italy;Sant'Antimo;Cum Laude;87;$35.00;Tuscany;Castello Banfi 1999 Cum Laude Sangiovese (Sant'Antimo);Sangiovese;Castello Banfi
01/01/1999;France;Champagne;Cuvée William Deutz Rosé Brut;94;$170.00;Champagne;Deutz 1999 Cuvée William Deutz Rosé Brut (Champagne);Champagne Blend;Deutz
